Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
2523,Shadow Rise 182,2025,tv series,Drama,8.1,87017,Canada,French,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",James Cameron,John Williams,Raju Murugan,166
2524,Broken Paths 358,2007,tv series,Comedy,9.9,20530,India,Hindi,"John Smith, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,John Williams,Quentin Tarantino,138
2525,Broken Paths 358,2007,movie,Action,8.7,56287,India,German,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,96
2526,Silent Night 128,1994,tv series,Drama,3.3,92824,India,French,"Chris Evans, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,79
2527,The Last Journey 464,1985,tv series,Drama,4.1,95769,USA,German,"Chris Evans, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,170
2528,Silent Night 429,2015,tv series,Action,3.4,76364,Canada,Hindi,"Amitabh Bachchan, John Smith, Chris Evans",James Cameron,John Williams,Raju Murugan,95
2529,Broken Paths 48,2005,movie,Drama,6.5,13965,USA,English,"Amitabh Bachchan, Emma Watson, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,122
2530,Golden Dreams 499,2012,tv series,Drama,8.2,92130,India,French,"John Smith, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,118
2531,Shadow Rise 114,2019,tv series,Drama,4.3,45242,USA,Hindi,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",James Cameron,Hans Zimmer,Quentin Tarantino,174
2532,Shadow Rise 480,2021,movie,Comedy,3.7,37886,Australia,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,148
2533,Golden Dreams 408,2000,tv series,Action,6.2,70691,Australia,German,"Scarlett Johansson, Chris Evans, John Smith",Rajkumar Hirani,A R Rahman,Raju Murugan,83
2534,The Last Journey 406,2003,movie,Romance,9.2,2633,USA,German,"Scarlett Johansson, Chris Evans, John Smith",Steven Spielberg,John Williams,Aaron Sorkin,89
2535,The Last Journey 268,1983,tv series,Drama,6.6,274,Canada,French,"Amitabh Bachchan, John Smith, Emma Watson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,77
2536,Shadow Rise 332,2012,tv series,Romance,9.8,55642,Canada,German,"Scarlett Johansson, Emma Watson, Chris Evans",Christopher Nolan,Hans Zimmer,Raju Murugan,89
2537,Shadow Rise 264,1998,movie,Comedy,5.2,3798,UK,German,"Emma Watson, John Smith, Amitabh Bachchan",Rajkumar Hirani,John Williams,Quentin Tarantino,179
2538,Golden Dreams 192,2010,movie,Romance,9.7,84330,Australia,French,"Scarlett Johansson, Emma Watson, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,94
2539,The Last Journey 472,2012,tv series,Comedy,9.2,42812,UK,English,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,161
2540,Shadow Rise 471,2014,tv series,Drama,7.1,18886,Australia,English,"John Smith, Emma Watson, Chris Evans",Christopher Nolan,A R Rahman,Aaron Sorkin,105
2541,Silent Night 276,1987,movie,Romance,5.4,74350,Canada,English,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,104
2542,Golden Dreams 348,2007,tv series,Romance,1.0,6270,UK,German,"Emma Watson, John Smith, Chris Evans",James Cameron,A R Rahman,Raju Murugan,70
2543,Shadow Rise 2,2025,tv series,Thriller,6.9,50615,Canada,English,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,91
2544,The Last Journey 64,1987,movie,Drama,6.8,66644,Canada,Spanish,"Amitabh Bachchan, John Smith, Chris Evans",James Cameron,A R Rahman,Raju Murugan,132
2545,Shadow Rise 376,1987,movie,Drama,7.1,94045,India,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,John Williams,Quentin Tarantino,126
2546,Shadow Rise 53,2010,tv series,Romance,5.5,87081,UK,Spanish,"Scarlett Johansson, Chris Evans, Emma Watson",James Cameron,John Williams,Aaron Sorkin,177
2547,Golden Dreams 141,2021,tv series,Romance,2.4,33760,Australia,Hindi,"Chris Evans, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,82
2548,Shadow Rise 381,2025,tv series,Comedy,9.8,1792,Canada,German,"Emma Watson, John Smith, Chris Evans",James Cameron,John Williams,Raju Murugan,178
2549,The Last Journey 83,2025,tv series,Comedy,9.5,1215,Canada,Hindi,"John Smith, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,89
2550,Silent Night 311,2002,movie,Thriller,4.6,18502,UK,English,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Christopher Nolan,A R Rahman,Quentin Tarantino,180
2551,Golden Dreams 214,2008,tv series,Comedy,6.1,86881,Canada,Spanish,"Amitabh Bachchan, Chris Evans, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,141
2552,Silent Night 431,2002,tv series,Comedy,9.8,60000,UK,Spanish,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,130
2553,The Last Journey 3,2010,tv series,Comedy,8.6,18071,Canada,German,"Chris Evans, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,122
2554,Golden Dreams 353,1980,tv series,Drama,5.7,87261,UK,English,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,179
2555,Broken Paths 333,1991,tv series,Romance,8.0,47992,Canada,English,"Scarlett Johansson, Emma Watson, John Smith",Steven Spielberg,John Williams,Raju Murugan,130
2556,Golden Dreams 475,1991,movie,Comedy,1.1,12569,UK,English,"Emma Watson, Chris Evans, Amitabh Bachchan",James Cameron,A R Rahman,Raju Murugan,121
2557,Shadow Rise 130,1985,movie,Action,8.6,19410,UK,German,"John Smith, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Raju Murugan,87
2558,Golden Dreams 273,2013,tv series,Comedy,1.1,74135,Australia,Hindi,"Scarlett Johansson, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,93
2559,Shadow Rise 29,2009,tv series,Romance,7.4,94055,India,German,"Emma Watson, John Smith, Chris Evans",James Cameron,Hans Zimmer,Raju Murugan,152
2560,Silent Night 190,1987,movie,Action,2.6,8660,Canada,German,"John Smith, Chris Evans, Emma Watson",Christopher Nolan,Hans Zimmer,Aaron Sorkin,117
2561,Broken Paths 487,1988,movie,Comedy,4.8,19980,USA,German,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,127
2562,Broken Paths 393,2022,tv series,Drama,3.9,32601,Australia,Spanish,"John Smith, Emma Watson, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,151
2563,The Last Journey 192,2010,tv series,Thriller,7.0,58752,Australia,German,"John Smith, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,83
2564,Broken Paths 381,1988,movie,Romance,6.8,44736,Australia,Hindi,"John Smith, Emma Watson, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,148
2565,Shadow Rise 138,2016,tv series,Romance,5.1,63947,USA,English,"Emma Watson, John Smith, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Quentin Tarantino,108
2566,The Last Journey 246,2003,movie,Thriller,2.3,76016,Australia,Spanish,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,A R Rahman,Raju Murugan,158
2567,Golden Dreams 209,2012,tv series,Comedy,4.9,37547,Canada,Hindi,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,A R Rahman,Raju Murugan,115
2568,The Last Journey 3,1984,movie,Thriller,5.2,48324,India,Hindi,"Amitabh Bachchan, Scarlett Johansson, John Smith",Steven Spielberg,A R Rahman,Quentin Tarantino,165
2569,Golden Dreams 481,2007,movie,Drama,1.8,21912,Australia,German,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,169
2570,Shadow Rise 272,1981,tv series,Action,9.5,10796,India,Hindi,"Chris Evans, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,70
2571,The Last Journey 334,1997,tv series,Comedy,6.8,75715,Australia,English,"Emma Watson, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,129
2572,The Last Journey 331,1996,movie,Drama,2.0,18482,India,Spanish,"Amitabh Bachchan, Scarlett Johansson, John Smith",Rajkumar Hirani,A R Rahman,Raju Murugan,145
2573,Shadow Rise 230,1990,tv series,Drama,9.4,24953,India,Spanish,"John Smith, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,145
2574,Shadow Rise 148,1989,tv series,Thriller,5.1,46131,India,English,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,86
2575,Silent Night 300,2001,tv series,Drama,4.8,94210,India,English,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,100
2576,Golden Dreams 190,2005,tv series,Comedy,6.5,84425,UK,French,"Amitabh Bachchan, Scarlett Johansson, John Smith",Rajkumar Hirani,John Williams,Raju Murugan,60
2577,Shadow Rise 397,1990,movie,Action,3.3,60046,UK,French,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",James Cameron,Hans Zimmer,Raju Murugan,86
2578,The Last Journey 193,1988,movie,Romance,5.6,22943,Australia,Hindi,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",James Cameron,A R Rahman,Raju Murugan,73
2579,Silent Night 151,1990,movie,Comedy,1.1,38568,Canada,Hindi,"Amitabh Bachchan, Scarlett Johansson, John Smith",Christopher Nolan,A R Rahman,Aaron Sorkin,106
2580,Silent Night 25,2018,movie,Romance,6.7,96689,India,English,"Chris Evans, Emma Watson, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Raju Murugan,83
2581,Golden Dreams 336,1981,movie,Romance,3.3,7369,UK,Hindi,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,80
2582,The Last Journey 227,2014,tv series,Romance,2.6,99402,Australia,English,"John Smith, Amitabh Bachchan, Chris Evans",Steven Spielberg,A R Rahman,Raju Murugan,66
2583,The Last Journey 241,2006,movie,Thriller,5.0,4093,Canada,Hindi,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,136
2584,Shadow Rise 380,2009,movie,Comedy,3.8,70307,UK,Spanish,"Emma Watson, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,121
2585,Golden Dreams 265,2009,movie,Comedy,4.5,48220,UK,English,"Chris Evans, John Smith, Emma Watson",Steven Spielberg,John Williams,Aaron Sorkin,86
2586,Shadow Rise 467,2009,tv series,Thriller,5.7,77870,Australia,English,"John Smith, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,82
2587,Shadow Rise 189,1995,tv series,Romance,3.6,65885,India,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,90
2588,Golden Dreams 442,2020,tv series,Romance,2.7,29461,Canada,German,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,167
2589,Broken Paths 458,2010,tv series,Comedy,9.4,2915,Australia,Spanish,"Chris Evans, Emma Watson, John Smith",James Cameron,Hans Zimmer,Raju Murugan,176
2590,Broken Paths 404,2009,tv series,Action,9.5,23621,Australia,English,"John Smith, Scarlett Johansson, Chris Evans",Rajkumar Hirani,John Williams,Raju Murugan,173
2591,Golden Dreams 90,1993,movie,Drama,5.6,90269,Canada,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",Steven Spielberg,A R Rahman,Raju Murugan,97
2592,Golden Dreams 108,2006,tv series,Thriller,7.8,62340,India,Spanish,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,105
2593,Broken Paths 275,1997,tv series,Action,6.5,931,Canada,English,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,76
2594,Shadow Rise 84,1981,movie,Action,7.7,95709,UK,German,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,A R Rahman,Quentin Tarantino,81
2595,Shadow Rise 194,2014,tv series,Action,3.8,56750,Australia,French,"Scarlett Johansson, John Smith, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,100
2596,Golden Dreams 17,2015,tv series,Comedy,8.8,63641,Australia,French,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,A R Rahman,Aaron Sorkin,152
2597,The Last Journey 39,2010,movie,Drama,7.4,82899,Canada,French,"Chris Evans, Scarlett Johansson, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,136
2598,Broken Paths 388,1981,tv series,Comedy,5.8,33460,USA,Spanish,"John Smith, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,87
2599,The Last Journey 375,2012,movie,Drama,2.8,52822,UK,French,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Raju Murugan,136
2600,The Last Journey 355,1995,movie,Comedy,9.6,41344,Canada,French,"Emma Watson, John Smith, Scarlett Johansson",Steven Spielberg,John Williams,Aaron Sorkin,107
2601,Golden Dreams 265,1983,tv series,Action,3.4,52111,USA,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",Rajkumar Hirani,A R Rahman,Aaron Sorkin,116
2602,The Last Journey 497,2018,tv series,Thriller,2.3,60325,Australia,English,"Chris Evans, Emma Watson, John Smith",James Cameron,John Williams,Quentin Tarantino,163
2603,The Last Journey 389,2016,tv series,Comedy,1.4,46310,Canada,Spanish,"Emma Watson, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,80
2604,Silent Night 409,2015,tv series,Comedy,9.4,10164,UK,Hindi,"Scarlett Johansson, Chris Evans, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,74
2605,The Last Journey 302,1997,tv series,Action,6.7,82711,India,Spanish,"Emma Watson, John Smith, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,94
2606,Golden Dreams 343,2022,movie,Drama,7.0,95569,UK,French,"Emma Watson, Scarlett Johansson, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,102
2607,The Last Journey 175,1993,tv series,Drama,8.0,2110,Australia,German,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,A R Rahman,Raju Murugan,144
2608,Shadow Rise 43,1987,tv series,Action,1.4,49677,Australia,French,"Emma Watson, John Smith, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,110
2609,Broken Paths 94,2021,movie,Romance,1.2,70645,USA,Hindi,"Amitabh Bachchan, Chris Evans, Emma Watson",James Cameron,A R Rahman,Aaron Sorkin,90
2610,Shadow Rise 420,2015,movie,Romance,8.9,25430,USA,Hindi,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,114
2611,Silent Night 106,2019,movie,Drama,1.2,39162,UK,English,"John Smith, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,109
2612,Shadow Rise 394,1985,movie,Thriller,6.2,22687,India,French,"John Smith, Chris Evans, Emma Watson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,76
2613,The Last Journey 245,1987,tv series,Drama,7.7,38635,UK,German,"Chris Evans, Amitabh Bachchan, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,136
2614,The Last Journey 342,1984,movie,Action,7.5,4301,Australia,English,"Emma Watson, Chris Evans, John Smith",Christopher Nolan,A R Rahman,Aaron Sorkin,177
2615,Shadow Rise 40,2008,movie,Romance,2.0,53188,India,German,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,159
2616,Silent Night 164,1996,movie,Thriller,5.3,45651,USA,English,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,97
2617,Shadow Rise 225,1991,tv series,Comedy,3.4,26005,UK,Hindi,"Chris Evans, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,87
2618,Silent Night 192,2008,tv series,Action,3.7,42371,USA,English,"John Smith, Amitabh Bachchan, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,124
2619,Broken Paths 294,2009,tv series,Romance,8.4,19730,India,English,"John Smith, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,160
2620,Golden Dreams 51,1986,tv series,Action,1.8,35056,India,Hindi,"Scarlett Johansson, John Smith, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Aaron Sorkin,112
2621,Shadow Rise 97,2019,movie,Action,1.4,37993,India,French,"Scarlett Johansson, John Smith, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,87
2622,Silent Night 218,2024,tv series,Action,4.2,22109,USA,French,"Emma Watson, John Smith, Scarlett Johansson",Steven Spielberg,John Williams,Aaron Sorkin,61
2623,Broken Paths 28,1994,movie,Thriller,8.5,32708,UK,Spanish,"Scarlett Johansson, Emma Watson, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,174
2624,Silent Night 331,2000,movie,Thriller,9.7,90313,Australia,English,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,172
2625,Broken Paths 414,2022,movie,Comedy,7.3,31477,Australia,Spanish,"Emma Watson, John Smith, Amitabh Bachchan",Steven Spielberg,A R Rahman,Aaron Sorkin,168
2626,The Last Journey 372,2020,tv series,Drama,9.0,34096,UK,Hindi,"Scarlett Johansson, John Smith, Chris Evans",Steven Spielberg,John Williams,Quentin Tarantino,150
2627,Broken Paths 425,1989,tv series,Action,8.8,31392,Canada,Hindi,"Amitabh Bachchan, Chris Evans, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,68
2628,Broken Paths 210,1984,movie,Drama,6.9,29656,UK,English,"John Smith, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Raju Murugan,117
2629,Golden Dreams 325,2019,tv series,Comedy,9.0,94353,Australia,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Quentin Tarantino,75
2630,Shadow Rise 156,2015,tv series,Action,1.2,52484,USA,German,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,129
2631,Broken Paths 35,1989,tv series,Drama,5.4,49562,UK,Hindi,"Scarlett Johansson, John Smith, Amitabh Bachchan",Rajkumar Hirani,John Williams,Quentin Tarantino,109
2632,The Last Journey 15,2024,movie,Romance,7.8,96987,Canada,German,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,A R Rahman,Aaron Sorkin,89
2633,Silent Night 389,1986,tv series,Drama,2.1,68296,India,Hindi,"Emma Watson, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,143
2634,Shadow Rise 12,2023,tv series,Drama,9.1,19615,India,Hindi,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Christopher Nolan,A R Rahman,Aaron Sorkin,145
2635,Silent Night 411,2000,tv series,Comedy,3.1,23144,Australia,Hindi,"Emma Watson, Chris Evans, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,147
2636,Shadow Rise 476,2015,tv series,Thriller,1.9,80218,Canada,German,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,88
2637,Broken Paths 86,1999,movie,Drama,2.6,14303,Canada,Hindi,"Amitabh Bachchan, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,135
2638,Broken Paths 463,2016,tv series,Thriller,8.8,14027,India,German,"Amitabh Bachchan, Emma Watson, John Smith",Christopher Nolan,John Williams,Raju Murugan,143
2639,Golden Dreams 57,1999,tv series,Drama,9.2,77438,Canada,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,109
2640,Broken Paths 305,2018,tv series,Romance,6.9,27980,India,English,"Scarlett Johansson, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,82
2641,Shadow Rise 264,2012,movie,Action,6.0,53217,Canada,Hindi,"Emma Watson, John Smith, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Aaron Sorkin,142
2642,Shadow Rise 160,2022,tv series,Action,3.0,58386,USA,French,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,Hans Zimmer,Aaron Sorkin,126
2643,Broken Paths 201,1981,movie,Comedy,8.3,8142,India,Hindi,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,104
2644,Broken Paths 121,1981,movie,Romance,2.2,50278,India,German,"Emma Watson, Amitabh Bachchan, John Smith",Christopher Nolan,John Williams,Aaron Sorkin,161
2645,Silent Night 366,2023,tv series,Romance,1.1,76511,India,German,"Amitabh Bachchan, Chris Evans, John Smith",James Cameron,Hans Zimmer,Quentin Tarantino,117
2646,Shadow Rise 471,2009,movie,Thriller,5.7,8016,USA,Hindi,"Amitabh Bachchan, Emma Watson, John Smith",Steven Spielberg,A R Rahman,Raju Murugan,80
2647,The Last Journey 54,2023,tv series,Comedy,6.2,70795,Australia,German,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,113
2648,The Last Journey 131,1983,tv series,Romance,1.6,37583,UK,French,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,John Williams,Quentin Tarantino,176
2649,Silent Night 222,2021,tv series,Action,6.6,70385,Canada,Hindi,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,75
2650,Shadow Rise 495,2014,movie,Thriller,9.6,42920,USA,German,"Emma Watson, Amitabh Bachchan, John Smith",Christopher Nolan,A R Rahman,Raju Murugan,120
2651,Broken Paths 235,1987,movie,Comedy,3.3,42110,Canada,French,"Chris Evans, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,129
2652,Silent Night 218,1980,movie,Romance,5.6,38085,Australia,English,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",James Cameron,John Williams,Raju Murugan,124
2653,The Last Journey 23,2009,tv series,Action,9.5,71923,India,Hindi,"Amitabh Bachchan, Emma Watson, Chris Evans",Rajkumar Hirani,A R Rahman,Aaron Sorkin,61
2654,Golden Dreams 388,2004,tv series,Romance,5.7,25594,Australia,Hindi,"Chris Evans, John Smith, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,170
2655,Shadow Rise 398,2013,movie,Thriller,2.2,49978,India,French,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Aaron Sorkin,100
2656,Shadow Rise 468,1996,tv series,Romance,8.0,21553,Canada,English,"Chris Evans, Emma Watson, John Smith",James Cameron,A R Rahman,Raju Murugan,96
2657,The Last Journey 235,2025,movie,Romance,4.9,71660,USA,Hindi,"Scarlett Johansson, Emma Watson, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,110
2658,Broken Paths 41,2024,tv series,Action,3.2,17045,Australia,Spanish,"Scarlett Johansson, Chris Evans, John Smith",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,103
2659,The Last Journey 421,1998,tv series,Drama,4.8,81709,Australia,Spanish,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,Hans Zimmer,Raju Murugan,131
2660,Golden Dreams 385,2001,movie,Thriller,2.0,91568,UK,German,"Emma Watson, Chris Evans, Amitabh Bachchan",James Cameron,Hans Zimmer,Aaron Sorkin,119
2661,Broken Paths 317,2007,tv series,Thriller,9.4,60702,Australia,English,"John Smith, Chris Evans, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,109
2662,Golden Dreams 146,1984,movie,Romance,6.6,58589,Canada,French,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,90
2663,Golden Dreams 256,1994,tv series,Thriller,4.6,75895,UK,Spanish,"Emma Watson, Chris Evans, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,94
2664,Shadow Rise 409,2016,movie,Thriller,4.9,97381,UK,Hindi,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,121
2665,Golden Dreams 256,2020,tv series,Action,7.7,64280,UK,German,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,142
2666,Broken Paths 101,1986,tv series,Thriller,3.8,525,USA,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,109
2667,Golden Dreams 198,1989,movie,Comedy,8.4,20373,India,Spanish,"Chris Evans, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Quentin Tarantino,116
2668,Silent Night 238,1985,movie,Action,8.5,13136,Canada,English,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",James Cameron,A R Rahman,Aaron Sorkin,173
2669,Golden Dreams 434,1986,movie,Romance,6.6,29602,Canada,German,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,A R Rahman,Aaron Sorkin,74
2670,Silent Night 54,2015,tv series,Thriller,1.5,30204,Canada,German,"Scarlett Johansson, John Smith, Chris Evans",Christopher Nolan,A R Rahman,Aaron Sorkin,74
2671,Golden Dreams 301,2007,movie,Thriller,3.2,37956,Australia,German,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,68
2672,Golden Dreams 3,2013,tv series,Romance,3.1,76278,UK,English,"Emma Watson, Scarlett Johansson, Chris Evans",Christopher Nolan,Hans Zimmer,Aaron Sorkin,156
2673,Shadow Rise 119,1981,movie,Drama,2.4,12048,Canada,German,"John Smith, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Raju Murugan,85
2674,Shadow Rise 186,2017,movie,Action,8.9,6418,USA,Hindi,"Scarlett Johansson, John Smith, Chris Evans",Christopher Nolan,John Williams,Quentin Tarantino,137
2675,Golden Dreams 310,1986,movie,Action,7.6,2865,UK,Spanish,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Christopher Nolan,A R Rahman,Raju Murugan,106
2676,Golden Dreams 249,2001,tv series,Action,7.7,54607,USA,French,"John Smith, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,180
2677,Golden Dreams 71,2022,tv series,Drama,9.4,81426,Canada,French,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",James Cameron,John Williams,Raju Murugan,133
2678,Broken Paths 156,2001,movie,Drama,9.1,97283,USA,French,"Scarlett Johansson, Chris Evans, John Smith",James Cameron,Hans Zimmer,Quentin Tarantino,104
2679,The Last Journey 368,2006,tv series,Action,8.7,58294,Australia,Hindi,"Scarlett Johansson, Amitabh Bachchan, John Smith",Christopher Nolan,A R Rahman,Aaron Sorkin,132
